Source: USDA National Nutrient Database for Standard Reference 28 Software v.2.3.7.5
Basic Report
Report Run at: February 20, 2016 12:51 EST
"Nutrient data for: 19272, Snacks, FARLEY CANDY, FARLEY Fruit Snacks, with vitamins A, C, and E"
Nutrient,Unit,1Value per 100 g,"1 pouch = 26.0g",
Proximates
"Water",g,14.70,3.82
"Energy",kcal,341,89
"Protein",g,4.40,1.14
"Total lipid (fat)",g,0.00,0.00
"Carbohydrate, by difference",g,80.90,21.03
Minerals
"Sodium, Na",mg,36,9
Vitamins
"Vitamin C, total ascorbic acid",mg,90.3,23.5
"Vitamin A, IU",IU,5436,1413
Lipids
Amino Acids
Other
