Source: USDA National Nutrient Database for Standard Reference 28 Software v.2.3.7.5
Basic Report
Report Run at: February 20, 2016 12:50 EST
"Nutrient data for: 19008, Snacks, corn-based, extruded, puffs or twists, cheese-flavor"
Nutrient,Unit,1Value per 100 g,"1 oz = 28.35g","1 package 1.25 oz = 35.0g",
Proximates
"Water",g,1.57,0.45,0.55
"Energy",kcal,560,159,196
"Protein",g,5.85,1.66,2.05
"Total lipid (fat)",g,36.01,10.21,12.60
"Carbohydrate, by difference",g,53.53,15.18,18.74
"Fiber, total dietary",g,1.4,0.4,0.5
"Sugars, total",g,3.19,0.90,1.12
Minerals
"Calcium, Ca",mg,56,16,20
"Iron, Fe",mg,2.53,0.72,0.89
"Magnesium, Mg",mg,17,5,6
"Phosphorus, P",mg,133,38,47
"Potassium, K",mg,182,52,64
"Sodium, Na",mg,942,267,330
"Zinc, Zn",mg,0.40,0.11,0.14
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0,0.0
"Thiamin",mg,0.160,0.045,0.056
"Riboflavin",mg,0.159,0.045,0.056
"Niacin",mg,4.706,1.334,1.647
"Vitamin B-6",mg,0.079,0.022,0.028
"Folate, DFE",µg,89,25,31
"Vitamin B-12",µg,0.48,0.14,0.17
"Vitamin A, RAE",µg,0,0,0
"Vitamin A, IU",IU,0,0,0
"Vitamin E (alpha-tocopherol)",mg,4.18,1.19,1.46
"Vitamin D (D2 + D3)",µg,0.1,0.0,0.0
"Vitamin D",IU,2,1,1
"Vitamin K (phylloquinone)",µg,1.3,0.4,0.5
Lipids
"Fatty acids, total saturated",g,5.360,1.520,1.876
"Fatty acids, total monounsaturated",g,10.052,2.850,3.518
"Fatty acids, total polyunsaturated",g,17.821,5.052,6.237
"Fatty acids, total trans",g,0.574,0.163,0.201
"Cholesterol",mg,7,2,2
Amino Acids
Other
"Caffeine",mg,0,0,0
Footnotes
(a)"Product made with oil that is not partially hydrogenated."
