Source: USDA National Nutrient Database for Standard Reference 28 Software v.2.3.7.5
Basic Report
Report Run at: February 20, 2016 12:48 EST
"Nutrient data for: 18064, Bread, wheat"
Nutrient,Unit,1Value per 100 g,"1 oz = 28.35g","1 slice = 29.0g",
Proximates
"Water",g,35.20,9.98,10.21
"Energy",kcal,267,76,77
"Protein",g,10.72,3.04,3.11
"Total lipid (fat)",g,3.24,0.92,0.94
"Carbohydrate, by difference",g,48.68,13.80,14.12
"Fiber, total dietary",g,4.0,1.1,1.2
"Sugars, total",g,5.91,1.68,1.71
Minerals
"Calcium, Ca",mg,133,38,39
"Iron, Fe",mg,3.49,0.99,1.01
"Magnesium, Mg",mg,45,13,13
"Phosphorus, P",mg,149,42,43
"Potassium, K",mg,177,50,51
"Sodium, Na",mg,508,144,147
"Zinc, Zn",mg,1.19,0.34,0.35
Vitamins
"Vitamin C, total ascorbic acid",mg,0.2,0.1,0.1
"Thiamin",mg,0.415,0.118,0.120
"Riboflavin",mg,0.253,0.072,0.073
"Niacin",mg,5.620,1.593,1.630
"Vitamin B-6",mg,0.111,0.031,0.032
"Folate, DFE",µg,99,28,29
"Vitamin B-12",µg,0.00,0.00,0.00
"Vitamin A, RAE",µg,0,0,0
"Vitamin A, IU",IU,2,1,1
"Vitamin E (alpha-tocopherol)",mg,0.19,0.05,0.06
"Vitamin D (D2 + D3)",µg,0.0,0.0,0.0
"Vitamin D",IU,0,0,0
"Vitamin K (phylloquinone)",µg,4.9,1.4,1.4
Lipids
"Fatty acids, total saturated",g,0.777,0.220,0.225
"Fatty acids, total monounsaturated",g,0.607,0.172,0.176
"Fatty acids, total polyunsaturated",g,1.499,0.425,0.435
"Fatty acids, total trans",g,0.026,0.007,0.008
"Cholesterol",mg,0,0,0
Amino Acids
Other
"Caffeine",mg,0,0,0
