Source: USDA National Nutrient Database for Standard Reference 28 Software v.2.3.7.5
Basic Report
Report Run at: February 20, 2016 12:51 EST
"Nutrient data for: 19295, Candies, MARS SNACKFOOD US, SNICKERS MUNCH bar"
Nutrient,Unit,1Value per 100 g,"1 serving 1.42 oz bar = 40.0g",
Proximates
"Water",g,2.99,1.20
"Energy",kcal,536,214
"Protein",g,15.25,6.10
"Total lipid (fat)",g,36.22,14.49
"Carbohydrate, by difference",g,43.64,17.46
"Fiber, total dietary",g,4.7,1.9
"Sugars, total",g,30.87,12.35
Minerals
"Calcium, Ca",mg,54,22
"Iron, Fe",mg,1.02,0.41
"Sodium, Na",mg,358,143
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0
"Vitamin A, IU",IU,314,126
Lipids
"Fatty acids, total saturated",g,8.819,3.528
"Fatty acids, total trans",g,0.272,0.109
"Cholesterol",mg,24,10
Amino Acids
Other
