Source: USDA National Nutrient Database for Standard Reference 28 Software v.2.3.7.5
Basic Report
Report Run at: February 20, 2016 12:54 EST
"Nutrient data for: 22974, Chicken, nuggets, dark and white meat, precooked, frozen, not reheated"
Nutrient,Unit,1Value per 100 g,"1 serving = 87.0g","1 piece = 18.0g",
Proximates
"Water",g,53.15,46.24,9.57
"Energy",kcal,260,226,47
"Protein",g,12.43,10.81,2.24
"Total lipid (fat)",g,16.14,14.04,2.91
"Carbohydrate, by difference",g,16.32,14.20,2.94
"Fiber, total dietary",g,1.3,1.1,0.2
"Sugars, total",g,0.79,0.69,0.14
Minerals
"Calcium, Ca",mg,21,18,4
"Iron, Fe",mg,0.91,0.79,0.16
"Magnesium, Mg",mg,23,20,4
"Phosphorus, P",mg,176,153,32
"Potassium, K",mg,223,194,40
"Sodium, Na",mg,560,487,101
"Zinc, Zn",mg,0.69,0.60,0.12
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0,0.0
"Thiamin",mg,0.106,0.092,0.019
"Riboflavin",mg,0.055,0.048,0.010
"Niacin",mg,6.736,5.860,1.212
"Vitamin B-6",mg,0.331,0.288,0.060
"Folate, DFE",µg,5,4,1
"Vitamin B-12",µg,0.23,0.20,0.04
"Vitamin A, RAE",µg,16,14,3
"Vitamin A, IU",IU,53,46,10
"Vitamin E (alpha-tocopherol)",mg,1.18,1.03,0.21
"Vitamin D (D2 + D3)",µg,0.3,0.3,0.1
"Vitamin D",IU,10,9,2
"Vitamin K (phylloquinone)",µg,10.0,8.7,1.8
Lipids
"Fatty acids, total saturated",g,3.203,2.787,0.577
"Fatty acids, total monounsaturated",g,5.276,4.590,0.950
"Fatty acids, total polyunsaturated",g,6.116,5.321,1.101
"Fatty acids, total trans",g,0.091,0.079,0.016
"Cholesterol",mg,32,28,6
Amino Acids
Other
"Caffeine",mg,0,0,0
